year,p_art
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,5.6202238336759056e-06
2002,2.913220602478818e-05
2003,8.250246791421847e-05
2004,0.007330102194289064
2005,0.017926791320378128
2006,0.03996665332966404
2007,0.0683310869445392
2008,0.10442870655743279
2009,0.15718344390360156
2010,0.259687599217894
2011,0.34772372121334794
2012,0.4127878034025747
2013,0.4765253823505099
2014,0.5720092448215741
2015,0.6378065615379969
2016,0.7075953767282999
2017,0.8156340289966862
2018,0.8430291482170134
2019,0.8470773617523735
2020,0.85
2021,0.87
2022,0.9
2023,0.92
2024,0.94
2025,0.95
2026,0.95
2027,0.95
2028,0.95
2029,0.95
2030,0.95
2031,0.95
2032,0.95
2033,0.95
2034,0.95
2035,0.95
2036,0.95
2037,0.95
2038,0.95
2039,0.95
2040,0.95
