time,hiv.prevalence,hiv.n_infected,hiv.new_infections,hiv.new_deaths,hiv.prevalence_15_49,hiv.prevalence_f,hiv.prevalence_m,n_alive
1990,0.1042920831770713,1054798.97,283353.805,40074.20312,0.1990958,0.2105008,0.1875423,10113893.0
1991,0.1231290005651478,1277809.989,287357.5869,52678.16406,0.2337271,0.2493295,0.2178784,10377815.0
1992,0.1381540611611087,1470166.58,273419.0925,66054.57422,0.2609763,0.2802801,0.2413163,10641501.0
1993,0.1505764456015321,1625460.383,251228.9366,79674.625,0.2801934,0.3026312,0.2572937,10794918.0
1994,0.1605558223283788,1743410.489,228444.5031,93256.59375,0.2920267,0.3169436,0.2665599999999999,10858594.0
1995,0.1660361856936862,1825408.633,200482.6064,105438.0938,0.2964893,0.3232288,0.2691543,10994041.0
1996,0.1676013796890385,1873476.882,179024.9715,118048.6719,0.2951803,0.3232193,0.2665281,11178171.0
1997,0.1670713849123966,1898332.071,163412.0884,125555.2578,0.2896918,0.3185529,0.2602255,11362401.0
1998,0.1645233647813664,1899975.703,150256.8535,133458.5352,0.2810065,0.3103235,0.2511085,11548364.0
1999,0.1602166553122642,1877171.072,139784.6238,142472.1172,0.2701836,0.299678,0.2401316999999999,11716454.0
2000,0.1549703066649226,1834023.369,128575.6718,148507.8594,0.257756,0.2871924,0.2277912999999999,11834676.0
2001,0.1493822392250241,1779288.565,121930.8638,151002.6719,0.2448447,0.2740534,0.2151406,11910978.0
2002,0.143209389615578,1716313.552,113895.1499,151474.8594,0.2316172,0.2604231,0.2023638,11984644.0
2003,0.1365070400969606,1648435.537,106026.4204,149705.4609,0.218608,0.2468496,0.1899803,12075828.0
2004,0.1301204271302383,1582379.03,101777.3495,145665.7422,0.2064552,0.2340229,0.1785697,12160881.0
2005,0.1244714844545325,1521633.153,96390.76108,137260.793,0.1954829,0.222348,0.1683669,12224753.0
2006,0.1193973108124656,1472227.347,92652.10422,124750.2188,0.1860380999999999,0.2122221,0.1596608,12330490.0
2007,0.1148948034338674,1430505.563,87649.84333,113651.9883,0.1779469,0.2034702,0.1522763,12450568.0
2008,0.1114170312581795,1398322.404,83424.27641,101609.4023,0.1713694,0.1962962999999999,0.1463323,12550347.0
2009,0.1086311563028152,1377422.422,80527.70053,89808.54297,0.1663017,0.1907757,0.141734,12679810.0
2010,0.1067761961642462,1370981.907,76369.51592,74554.23047,0.1631632,0.1875547,0.1380477,12839771.0
2011,0.1050604243813328,1368494.5,63104.06668,57886.29297,0.1595751,0.1844488,0.1340115,13025785.0
2012,0.1033051654723127,1370377.214,55756.70171,46271.04492,0.1564017,0.1820033,0.1301228,13265331.0
2013,0.1014318029346485,1374950.893,51549.0916,39000.3457,0.1529757,0.1791491999999999,0.1261421999999999,13555422.0
2014,0.0994218898099583,1377565.148,44894.63057,34399.54883,0.149162,0.1755832,0.1221171,13855753.0
2015,0.0973925699563339,1378585.692,41993.33468,32618.66016,0.1451391,0.1718472999999999,0.1178377,14154937.0
2016,0.0954042059534326,1378848.749,38660.13009,29941.01465,0.1408537,0.1678849999999999,0.1132461,14452704.0
2017,0.093081411753604,1373053.306,30703.94604,28091.15039,0.135901,0.1629994,0.1082381,14751101.0
2018,0.0906328348098853,1364222.106,24384.65139,24566.49609,0.1306194,0.1575592,0.1031227,15052184.0
2019,0.0881504171255951,1353515.1,21226.51661,22971.06543,0.1253706,0.1520381,0.0981485,15354608.0
2020,0.0855307767249155,1340238.704,18258.17167,22090.2002,0.1200606999999999,0.1463226,0.0932305,15669666.0
2021,0.0832617649493632,1331649.036,21303.23119,20128.84473,0.1149095,0.1407401,0.088491,15993524.0
2022,0.0808500890626331,1319516.87,16914.552,19502.02246,0.1092394999999999,0.1344074999999999,0.0834671999999999,16320537.0
2023,0.0784933822505571,1307247.336,15285.83202,17933.61719,0.1034684,0.1278374,0.0784829,16654236.0
2024,0.0762396557986556,1295674.547,14986.87936,16723.03711,0.0978348,0.1213644,0.0736812,16994759.0
