time,hiv_prevalence,hiv_n_infected,hiv_new_infections,hiv_new_deaths,hiv_prevalence_15_49,hiv_prevalence_f,hiv_prevalence_m
1990,0.10429208317707138,1054798.97,283353.805,40074.20312,0.1990958,0.21050080000000002,0.1875423
1991,0.12312900056514788,1277809.989,287357.5869,52678.16406,0.23372710000000002,0.2493295,0.2178784
1992,0.13815406116110876,1470166.58,273419.0925,66054.57422,0.2609763,0.2802801,0.2413163
1993,0.15057644560153213,1625460.383,251228.9366,79674.625,0.2801934,0.3026312,0.2572937
1994,0.1605558223283788,1743410.489,228444.5031,93256.59375,0.29202670000000003,0.3169436,0.26655999999999996
1995,0.16603618569368622,1825408.633,200482.6064,105438.0938,0.2964893,0.3232288,0.2691543
1996,0.16760137968903857,1873476.882,179024.9715,118048.6719,0.2951803,0.32321930000000004,0.2665281
1997,0.1670713849123966,1898332.071,163412.0884,125555.2578,0.2896918,0.3185529,0.2602255
1998,0.16452336478136642,1899975.703,150256.8535,133458.5352,0.2810065,0.31032350000000003,0.2511085
1999,0.16021665531226426,1877171.072,139784.6238,142472.1172,0.2701836,0.299678,0.24013169999999998
2000,0.15497030666492265,1834023.369,128575.6718,148507.8594,0.257756,0.2871924,0.22779129999999997
2001,0.14938223922502417,1779288.565,121930.8638,151002.6719,0.24484470000000003,0.2740534,0.21514060000000002
2002,0.14320938961557805,1716313.552,113895.1499,151474.8594,0.2316172,0.2604231,0.2023638
2003,0.13650704009696063,1648435.537,106026.4204,149705.4609,0.21860800000000002,0.2468496,0.1899803
2004,0.13012042713023836,1582379.03,101777.3495,145665.7422,0.2064552,0.2340229,0.1785697
2005,0.12447148445453253,1521633.153,96390.76108,137260.793,0.19548290000000001,0.222348,0.1683669
2006,0.11939731081246568,1472227.347,92652.10422,124750.2188,0.18603809999999998,0.2122221,0.1596608
2007,0.11489480343386745,1430505.563,87649.84333,113651.9883,0.1779469,0.20347020000000002,0.1522763
2008,0.11141703125817956,1398322.404,83424.27641,101609.4023,0.1713694,0.19629629999999998,0.1463323
2009,0.10863115630281527,1377422.422,80527.70053,89808.54297,0.1663017,0.19077570000000002,0.141734
2010,0.10677619616424622,1370981.907,76369.51592,74554.23047,0.1631632,0.1875547,0.1380477
2011,0.10506042438133287,1368494.5,63104.06668,57886.29297,0.1595751,0.18444880000000002,0.1340115
2012,0.10330516547231275,1370377.214,55756.70171,46271.04492,0.1564017,0.1820033,0.1301228
2013,0.10143180293464858,1374950.893,51549.0916,39000.3457,0.1529757,0.17914919999999998,0.12614219999999998
2014,0.09942188980995836,1377565.148,44894.63057,34399.54883,0.149162,0.1755832,0.1221171
2015,0.09739256995633397,1378585.692,41993.33468,32618.66016,0.1451391,0.17184729999999998,0.1178377
2016,0.09540420595343266,1378848.749,38660.13009,29941.01465,0.1408537,0.16788499999999998,0.1132461
2017,0.09308141175360403,1373053.306,30703.94604,28091.15039,0.135901,0.1629994,0.1082381
2018,0.09063283480988539,1364222.106,24384.65139,24566.49609,0.1306194,0.1575592,0.1031227
2019,0.08815041712559514,1353515.1,21226.51661,22971.06543,0.1253706,0.1520381,0.0981485
2020,0.0855307767249155,1340238.704,18258.17167,22090.2002,0.12006069999999999,0.1463226,0.09323050000000001
2021,0.08326176494936326,1331649.036,21303.23119,20128.84473,0.1149095,0.1407401,0.088491
2022,0.08085008906263318,1319516.87,16914.552,19502.02246,0.10923949999999999,0.13440749999999999,0.08346719999999999
2023,0.07849338225055716,1307247.336,15285.83202,17933.61719,0.1034684,0.1278374,0.07848290000000001
2024,0.0762396557986556,1295674.547,14986.87936,16723.03711,0.09783480000000001,0.1213644,0.0736812
