metric,model,year,value
# Fig 1B (Zimbabwe) digitised by eye from reference/fig1_zim.jpg.
# Precision approx +/- 3-5% per point. Sampled at 2000, 2005, 2010, 2015, 2020, 2025, 2030, 2035, 2039.
# For Goals which starts mid-range, earliest sampled year varies by panel.
#
# Population 15-64 (persons)
pop_15_64,Optima,2000,6500000
pop_15_64,Optima,2005,7200000
pop_15_64,Optima,2010,8000000
pop_15_64,Optima,2015,9000000
pop_15_64,Optima,2020,10000000
pop_15_64,Optima,2025,11000000
pop_15_64,Optima,2030,12000000
pop_15_64,Optima,2035,12700000
pop_15_64,Optima,2039,13000000
pop_15_64,Synthesis,2000,5500000
pop_15_64,Synthesis,2005,6500000
pop_15_64,Synthesis,2010,7500000
pop_15_64,Synthesis,2015,8500000
pop_15_64,Synthesis,2020,10000000
pop_15_64,Synthesis,2025,11500000
pop_15_64,Synthesis,2030,12800000
pop_15_64,Synthesis,2035,14000000
pop_15_64,Synthesis,2039,15000000
pop_15_64,PopART,2000,5500000
pop_15_64,PopART,2005,6500000
pop_15_64,PopART,2010,7500000
pop_15_64,PopART,2015,8500000
pop_15_64,PopART,2020,10000000
pop_15_64,PopART,2025,11200000
pop_15_64,PopART,2030,12500000
pop_15_64,PopART,2035,13700000
pop_15_64,PopART,2039,14500000
pop_15_64,Goals,2000,5500000
pop_15_64,Goals,2005,6600000
pop_15_64,Goals,2010,7600000
pop_15_64,Goals,2015,8800000
pop_15_64,Goals,2020,10500000
pop_15_64,Goals,2025,12000000
pop_15_64,Goals,2030,13300000
pop_15_64,Goals,2035,14400000
pop_15_64,Goals,2039,15200000
# HIV prevalence (%). Re-digitised 2026-07-15 from reference/fig1_zim.jpg
# after initial reading had compressed the y-axis. Optima and PopART peak
# near 20-22% at 2000; Synthesis and Goals sit at 15% and stay flatter.
prev,Optima,2000,20.0
prev,Optima,2005,17.5
prev,Optima,2010,13.5
prev,Optima,2015,10.5
prev,Optima,2020,8.5
prev,Optima,2025,7.5
prev,Optima,2030,6.7
prev,Optima,2035,6.0
prev,Optima,2039,5.7
prev,Synthesis,2000,15.0
prev,Synthesis,2005,15.0
prev,Synthesis,2010,14.5
prev,Synthesis,2015,13.5
prev,Synthesis,2020,13.0
prev,Synthesis,2025,12.0
prev,Synthesis,2030,10.8
prev,Synthesis,2035,9.5
prev,Synthesis,2039,8.6
prev,PopART,2000,22.0
prev,PopART,2005,19.5
prev,PopART,2010,16.0
prev,PopART,2015,13.5
prev,PopART,2020,12.5
prev,PopART,2025,11.0
prev,PopART,2030,9.5
prev,PopART,2035,8.5
prev,PopART,2039,7.8
prev,Goals,2000,15.0
prev,Goals,2005,15.0
prev,Goals,2010,13.5
prev,Goals,2015,12.5
prev,Goals,2020,11.0
prev,Goals,2025,9.5
prev,Goals,2030,8.0
prev,Goals,2035,6.7
prev,Goals,2039,6.0
# New HIV infections per year (count)
new_inf,Optima,2000,120000
new_inf,Optima,2005,115000
new_inf,Optima,2010,80000
new_inf,Optima,2015,40000
new_inf,Optima,2020,20000
new_inf,Optima,2025,10000
new_inf,Optima,2030,6000
new_inf,Optima,2035,5500
new_inf,Optima,2039,5000
new_inf,Synthesis,2000,80000
new_inf,Synthesis,2005,70000
new_inf,Synthesis,2010,45000
new_inf,Synthesis,2015,42000
new_inf,Synthesis,2020,35000
new_inf,Synthesis,2025,32000
new_inf,Synthesis,2030,30000
new_inf,Synthesis,2035,29000
new_inf,Synthesis,2039,28000
new_inf,PopART,2000,75000
new_inf,PopART,2005,65000
new_inf,PopART,2010,42000
new_inf,PopART,2015,30000
new_inf,PopART,2020,27000
new_inf,PopART,2025,27000
new_inf,PopART,2030,27000
new_inf,PopART,2035,27000
new_inf,PopART,2039,27000
new_inf,Goals,2000,90000
new_inf,Goals,2005,80000
new_inf,Goals,2010,55000
new_inf,Goals,2015,35000
new_inf,Goals,2020,25000
new_inf,Goals,2025,20000
new_inf,Goals,2030,17000
new_inf,Goals,2035,13000
new_inf,Goals,2039,10000
# Proportion diagnosed among PLHIV (%)
p_dx,Optima,2000,40
p_dx,Optima,2005,50
p_dx,Optima,2010,65
p_dx,Optima,2015,80
p_dx,Optima,2020,90
p_dx,Optima,2025,93
p_dx,Optima,2030,95
p_dx,Optima,2035,97
p_dx,Optima,2039,97
p_dx,Synthesis,2005,15
p_dx,Synthesis,2010,60
p_dx,Synthesis,2015,80
p_dx,Synthesis,2020,90
p_dx,Synthesis,2025,93
p_dx,Synthesis,2030,95
p_dx,Synthesis,2035,95
p_dx,Synthesis,2039,95
p_dx,PopART,2005,10
p_dx,PopART,2010,50
p_dx,PopART,2015,75
p_dx,PopART,2020,85
p_dx,PopART,2025,88
p_dx,PopART,2030,90
p_dx,PopART,2035,90
p_dx,PopART,2039,90
p_dx,Goals,2011,70
p_dx,Goals,2015,85
p_dx,Goals,2020,90
p_dx,Goals,2025,93
p_dx,Goals,2030,95
p_dx,Goals,2035,97
p_dx,Goals,2039,97
# Proportion of PLHIV on ART (%). Re-digitised 2026-07-15 with finer temporal
# sampling around 2004-2007 to capture the abrupt step-ups in Synthesis and
# PopART at 2005 that 5-year sampling had smoothed into gradual ramps.
p_on_art,Optima,2003,0
p_on_art,Optima,2005,2
p_on_art,Optima,2007,10
p_on_art,Optima,2010,30
p_on_art,Optima,2015,65
p_on_art,Optima,2020,85
p_on_art,Optima,2025,90
p_on_art,Optima,2030,93
p_on_art,Optima,2035,94
p_on_art,Optima,2039,95
p_on_art,Synthesis,2003,0
p_on_art,Synthesis,2005,0
p_on_art,Synthesis,2006,65
p_on_art,Synthesis,2010,75
p_on_art,Synthesis,2015,90
p_on_art,Synthesis,2020,93
p_on_art,Synthesis,2025,94
p_on_art,Synthesis,2030,95
p_on_art,Synthesis,2035,96
p_on_art,Synthesis,2039,96
p_on_art,PopART,2003,0
p_on_art,PopART,2005,0
p_on_art,PopART,2006,50
p_on_art,PopART,2010,60
p_on_art,PopART,2015,78
p_on_art,PopART,2018,88
p_on_art,PopART,2020,88
p_on_art,PopART,2025,88
p_on_art,PopART,2030,88
p_on_art,PopART,2035,85
p_on_art,PopART,2039,85
p_on_art,Goals,2009,45
p_on_art,Goals,2010,60
p_on_art,Goals,2015,85
p_on_art,Goals,2020,93
p_on_art,Goals,2025,95
p_on_art,Goals,2030,95
p_on_art,Goals,2035,96
p_on_art,Goals,2039,97
# Proportion of on-ART virally suppressed (%). Starts 2008.
p_vls,Optima,2008,35
p_vls,Optima,2010,35
p_vls,Optima,2015,40
p_vls,Optima,2020,45
p_vls,Optima,2025,75
p_vls,Optima,2030,85
p_vls,Optima,2035,90
p_vls,Optima,2039,93
p_vls,Synthesis,2008,82
p_vls,Synthesis,2010,83
p_vls,Synthesis,2015,88
p_vls,Synthesis,2020,92
p_vls,Synthesis,2025,94
p_vls,Synthesis,2030,95
p_vls,Synthesis,2035,95
p_vls,Synthesis,2039,95
p_vls,PopART,2008,82
p_vls,PopART,2010,82
p_vls,PopART,2015,83
p_vls,PopART,2020,84
p_vls,PopART,2025,84
p_vls,PopART,2030,84
p_vls,PopART,2035,84
p_vls,PopART,2039,84
p_vls,Goals,2013,94
p_vls,Goals,2015,94
p_vls,Goals,2020,95
p_vls,Goals,2025,95
p_vls,Goals,2030,96
p_vls,Goals,2035,97
p_vls,Goals,2039,97
