metric,model,sex,year,value
# Fig 2B (Zimbabwe) — Mean age at HIV acquisition (years).
# Digitised by eye from reference/fig2_zim.jpg, +/- 1-2 years precision.
# Sampled at 2000, 2005, 2010, 2015, 2020, 2025, 2030, 2035, 2039.
mean_age,Optima,male,2000,34
mean_age,Optima,male,2005,34
mean_age,Optima,male,2010,35
mean_age,Optima,male,2015,36
mean_age,Optima,male,2020,37
mean_age,Optima,male,2025,37
mean_age,Optima,male,2030,38
mean_age,Optima,male,2035,38
mean_age,Optima,male,2039,39
mean_age,Optima,female,2000,27
mean_age,Optima,female,2005,27
mean_age,Optima,female,2010,28
mean_age,Optima,female,2015,29
mean_age,Optima,female,2020,32
mean_age,Optima,female,2025,33
mean_age,Optima,female,2030,34
mean_age,Optima,female,2035,34
mean_age,Optima,female,2039,35
mean_age,Synthesis,male,2000,33
mean_age,Synthesis,male,2005,33
mean_age,Synthesis,male,2010,35
mean_age,Synthesis,male,2015,36
mean_age,Synthesis,male,2020,36
mean_age,Synthesis,male,2025,37
mean_age,Synthesis,male,2030,38
mean_age,Synthesis,male,2035,38
mean_age,Synthesis,male,2039,39
mean_age,Synthesis,female,2000,27
mean_age,Synthesis,female,2005,27
mean_age,Synthesis,female,2010,28
mean_age,Synthesis,female,2015,30
mean_age,Synthesis,female,2020,32
mean_age,Synthesis,female,2025,33
mean_age,Synthesis,female,2030,33
mean_age,Synthesis,female,2035,34
mean_age,Synthesis,female,2039,34
mean_age,Goals,male,2000,34
mean_age,Goals,male,2005,35
mean_age,Goals,male,2010,36
mean_age,Goals,male,2015,37
mean_age,Goals,male,2020,39
mean_age,Goals,male,2025,40
mean_age,Goals,male,2030,42
mean_age,Goals,male,2035,43
mean_age,Goals,male,2039,45
mean_age,Goals,female,2000,28
mean_age,Goals,female,2005,29
mean_age,Goals,female,2010,30
mean_age,Goals,female,2015,32
mean_age,Goals,female,2020,34
mean_age,Goals,female,2025,35
mean_age,Goals,female,2030,36
mean_age,Goals,female,2035,37
mean_age,Goals,female,2039,38
mean_age,PopART,male,2000,33
mean_age,PopART,male,2005,34
mean_age,PopART,male,2010,36
mean_age,PopART,male,2015,37
mean_age,PopART,male,2020,39
mean_age,PopART,male,2025,40
mean_age,PopART,male,2030,42
mean_age,PopART,male,2035,44
mean_age,PopART,male,2039,45
mean_age,PopART,female,2000,26
mean_age,PopART,female,2005,27
mean_age,PopART,female,2010,28
mean_age,PopART,female,2015,29
mean_age,PopART,female,2020,31
mean_age,PopART,female,2025,33
mean_age,PopART,female,2030,35
mean_age,PopART,female,2035,37
mean_age,PopART,female,2039,38
